,,
,,
,,
,,
,,
INGREDIENT LABEL NAME (API),"BENEFITS (Algo) / INGREDIENT USAGE (API) 
Algo driven",INGREDIENTS DESCRIPTION 
Bamboo Charcoal,Root Detox,Gently cleanses and detoxifies the scalp.
Hyaluronic Acid,Hair Hydration ,Supports damaged hair by creating a protective outer layer that hydrates hair fibers. 
Anise Myrtle Extract,Scalp Soothing,Calms and soothes the scalp by helping boost its natural response to environmental stressors.
Glycerin,Moisture Boost,"Exceptionally rich in humectants, it helps draw in moisture to deeply soften strands"
Eucalyptus Oil,Invigorating Scent,A freshly scented oil that promotes scalp health and refreshes roots.
Fermented Rice Water,Tamed Frizz,Smooths and strengthens hair to help control frizz. Rich in amino acids.
Grapefruit Oil,Vitalizing Scent,Naturally helps soothe scalp sensitivity and itching.
Hyaluronic Acid,Scalp Hydration ,Supports dry scalps by creating a protective film that helps maintain hydration.
Jojoba Beads,Gentle Exfoliation,Gently exfoliates to detoxify roots and promotes scalp health. 100% natural & biodegradable.
Jujube Bark Extract,Scalp Health,Promotes scalp health and helps control flakes with natural scalp soothing.
Maca Root + Biotin,Hair Vitality,Promotes naturally thriving hair by boosting density & strength.
Panthenol,Scalp Comfort,Helps rebalance the scalp for less sensitivity & more relief.
Pink Clay,Scalp Support,Helps refresh roots to naturally promote scalp health.
Kombucha Tea,Microbiome Balance,Filled with botanic antioxidants that help combat oily roots.
Maca Root + Peptides,Hair Density,"Promotes optimal hair and scalp health for hair that appears fuller, denser, and stronger."
Red Algae Extract,Pollution Shield,Helps fight against oxidative stress to protect hair from pollution. Carefully sourced for coral preservation.
Rosehip Extract ,Oil Control,"Helps regulate scalp sebum levels to control excess oiliness and promote a balanced, healthy scalp."
Rosemary Extract,Root Revival ,"With its characteristic herbal scent, this blend is boosted by potent botanic antioxidants known to promote scalp health. "
Spirulina + Vitamin B6,Root Refresh,Balances and refreshes oily roots with a blend of botanical extracts.
Spirulina + Vitamin B6,Scalp Refresh,Balances and refreshes oily roots with a blend of botanical extracts.
Rosehip Extract ,Scalp Balance,"Helps regulate scalp sebum levels and promote a balanced, healthy scalp."
